symbol,security_id,exchange,segment,instrument
ICICIGI FEB FUT,59354,NSE,D,FUTSTK
ICICIGI MAR FUT,51910,NSE,D,FUTSTK
ICICIPRULI APR FUT,66856,NSE,D,FUTSTK
ICICIPRULI FEB FUT,59355,NSE,D,FUTSTK
ICICIPRULI MAR FUT,51912,NSE,D,FUTSTK
IDEA APR FUT,66857,NSE,D,FUTSTK
IDEA FEB FUT,59356,NSE,D,FUTSTK
IDEA MAR FUT,51913,NSE,D,FUTSTK
IDFCFIRSTB APR FUT,66858,NSE,D,FUTSTK
IDFCFIRSTB FEB FUT,59357,NSE,D,FUTSTK
IDFCFIRSTB MAR FUT,51917,NSE,D,FUTSTK
IEX APR FUT,66859,NSE,D,FUTSTK
IEX FEB FUT,59358,NSE,D,FUTSTK
IEX MAR FUT,51918,NSE,D,FUTSTK
INDHOTEL APR FUT,66860,NSE,D,FUTSTK
INDHOTEL FEB FUT,59359,NSE,D,FUTSTK
INDHOTEL MAR FUT,51919,NSE,D,FUTSTK
INDIANB APR FUT,66861,NSE,D,FUTSTK
INDIANB FEB FUT,59360,NSE,D,FUTSTK
INDIANB MAR FUT,51920,NSE,D,FUTSTK
INDIGO APR FUT,66862,NSE,D,FUTSTK
INDIGO FEB FUT,59372,NSE,D,FUTSTK
INDIGO MAR FUT,51922,NSE,D,FUTSTK
INDUSINDBK APR FUT,66863,NSE,D,FUTSTK
INDUSINDBK FEB FUT,59373,NSE,D,FUTSTK
INDUSINDBK MAR FUT,51923,NSE,D,FUTSTK
INDUSTOWER APR FUT,66864,NSE,D,FUTSTK
INDUSTOWER FEB FUT,59374,NSE,D,FUTSTK
INDUSTOWER MAR FUT,51928,NSE,D,FUTSTK
INFY APR FUT,66865,NSE,D,FUTSTK
INFY FEB FUT,59375,NSE,D,FUTSTK
INFY MAR FUT,51929,NSE,D,FUTSTK
INOXWIND APR FUT,66866,NSE,D,FUTSTK
INOXWIND FEB FUT,59378,NSE,D,FUTSTK
INOXWIND MAR FUT,51933,NSE,D,FUTSTK
IOC APR FUT,66867,NSE,D,FUTSTK
IOC FEB FUT,59379,NSE,D,FUTSTK
IOC MAR FUT,51934,NSE,D,FUTSTK
IRCTC FEB FUT,59380,NSE,D,FUTSTK
IREDA APR FUT,66868,NSE,D,FUTSTK
IREDA FEB FUT,59381,NSE,D,FUTSTK
IREDA MAR FUT,51935,NSE,D,FUTSTK
IRFC APR FUT,66869,NSE,D,FUTSTK
IRFC FEB FUT,59382,NSE,D,FUTSTK
IRFC MAR FUT,51936,NSE,D,FUTSTK
ITC APR FUT,66870,NSE,D,FUTSTK
ITC FEB FUT,59383,NSE,D,FUTSTK
ITC MAR FUT,51939,NSE,D,FUTSTK
